timestamp	metric	value
1589489595	mqtt.message.pub_to_sub.latency.qos1.mean	1360.0
1589489595	mqtt.publisher.qos2.pubcomp.waiting	0
1589489605	mqtt.message.pub_to_sub.latency.qos1.mean	1.22e5
1589489595	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589489615	mqtt.message.pub_to_sub.latency.qos1.mean	2.17e4
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	7.0
1589489595	logs.dropped.mailbox_overflow.rps	0.0
1589489595	mqtt.publisher.qos1.puback.latency.min	809
1589489605	mqtt.publisher.qos2.pubcomp.waiting	0
1589489605	metric_merging_time	16.539
1589489595	mqtt.connection.connack.latency.75	1.88e4
1589489605	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589489625	mqtt.message.pub_to_sub.latency.qos1.mean	2.17e4
1589489595	mqtt.message.published.total	2243
1589489595	mqtt.publisher.qos1.puback.latency.max	18080
1589489595	mqtt.consumer.suback.errors.rps	0.0
1589489595	workers.pool2.failed	0
1589489595	mqtt.publisher.qos1.puback.latency.50	1290.0
1589489615	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589489605	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589489595	mqtt.message.pub_to_sub.latency.qos1.max	39360
1589489635	mqtt.message.pub_to_sub.latency.qos1.mean	2.16e4
1589489605	logs.dropped.mailbox_overflow.rps	0.0
1589489605	mqtt.publisher.qos1.puback.latency.50	1410.0
1589489595	mqtt.publisher.qos1.puback.latency.95	1840.0
1589489595	mqtt.message.pub_to_sub.latency.qos1.999	3.08e4
1589489625	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589489595	workers.pool2.ended	0
1589489605	mqtt.consumer.suback.errors.rps	0.0
1589489595	workers.pool2.started	10
1589489615	mqtt.publisher.qos2.pubcomp.waiting	0
1589489595	systemload.dir_time_diff.mzb_director199_0	-4
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	3
1589489595	mqtt.message.pub_to_sub.latency.qos1.min	677
1589489595	mqtt.publisher.qos1.puback.latency.90	1610.0
1589489595	mqtt.publisher.qos1.puback.latency.99	5160.0
1589489595	mqtt.publisher.qos1.puback.latency.999	1.19e4
1589489615	metric_merging_time	14.644
1589489605	mqtt.publisher.qos1.puback.latency.min	777
1589489595	systemload.interval.mzb_director199_0	10.0
1589489595	mqtt.consumer.suback.latency.max	5008
1589489595	mqtt.publisher.qos2.pubrec.waiting	0
1589489605	workers.pool2.failed	0
1589489595	mqtt.consumer.suback.latency.99	5010.0
1589489595	mqtt.publisher.qos1.puback.waiting	71
1589489595	mqtt.message.pub_to_sub.latency.qos1.99	9570.0
1589489595	mqtt.publisher.qos1.puback.waiting.rps	7.089851586439171
1589489595	mqtt.publisher.qos2.pubrec.in.total	0
1589489595	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589489595	mqtt.connection.connack.latency.min	14344
1589489595	mqtt.connection.connack.latency.max	21488
1589489615	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589489645	mqtt.message.pub_to_sub.latency.qos1.mean	2.18e4
1589489595	mqtt.message.pub_to_sub.latency.qos1.75	1370.0
1589489595	systemload.time_offset.mzb_director199_0	0
1589489595	mqtt.connection.connack.latency.mean	1.71e4
1589489595	mqtt.connection.connack.latency.999	2.15e4
1589489595	mqtt.connection.connack.latency.50	1.63e4
1589489595	mqtt.connection.current_total	20
1589489635	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589489605	mqtt.publisher.qos1.puback.latency.max	1879040
1589489605	mqtt.message.published.total	12262
1589489595	mqtt.connection.connack.latency.99	2.15e4
1589489615	mqtt.publisher.qos1.puback.latency.50	1320.0
1589489595	systemload.message_queue.mzb_director199_0	0
1589489595	mqtt.connection.current_total.rps	1.997141291954696
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	6.0
1589489595	mqtt.connection.reconnects.rps	0.0
1589489605	systemload.dir_time_diff.mzb_director199_0	-1
1589489595	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589489595	systemload.director_ping.mzb_director199_0	14
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	207
1589489595	mqtt.consumer.suback.latency.mean	3560.0
1589489605	workers.pool2.started	10
1589489605	workers.pool2.ended	0
1589489595	mqtt.consumer.suback.latency.90	4950.0
1589489595	mqtt.publisher.qos1.puback.latency.75	1450.0
1589489595	mqtt.publisher.qos1.puback.in.total.rps	216.88954430628
1589489595	mqtt.message.pub_to_sub.latency.qos1.95	1760.0
1589489595	mqtt.publisher.qos1.puback.latency.mean	1410.0
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	11.0
1589489615	logs.dropped.mailbox_overflow.rps	0.0
1589489605	mqtt.message.pub_to_sub.latency.qos1.max	1881088
1589489615	mqtt.consumer.suback.errors.rps	0.0
1589489595	mqtt.connection.connack.latency.90	1.92e4
1589489605	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	1
1589489595	mqtt.message.pub_to_sub.latency.qos1.50	1070.0
1589489625	mqtt.publisher.qos2.pubcomp.waiting	0
1589489595	systemload.la1.mzb_director199_0	0.53125
1589489595	mqtt.consumer.suback.errors	0
1589489595	mqtt.message.pub_to_sub.latency.qos1.90	1540.0
1589489595	mqtt.consumer.suback.latency.min	2348
1589489605	mqtt.message.pub_to_sub.latency.qos1.min	937
1589489605	mqtt.message.pub_to_sub.latency.qos1.999	1.83e6
1589489595	mqtt.consumer.current_total	10
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	6.19
1589489595	mqtt.message.consumed.total.rps	218.58711440444148
1589489605	mqtt.publisher.qos1.puback.waiting	1
1589489595	workers.pool1.ended	10
1589489595	workers.pool1.started.rps	0.998570645977348
1589489595	workers.pool1.ended.rps	0.998570645977348
1589489595	mqtt.connection.reconnects	0
1589489605	mqtt.message.pub_to_sub.latency.qos1.99	1.4e6
1589489605	systemload.interval.mzb_director199_0	10.004754
1589489595	mqtt.consumer.current_total.rps	0.998570645977348
1589489595	mqtt.consumer.suback.latency.95	5010.0
1589489595	errors.user.rps	0.0
1589489605	mqtt.publisher.qos1.puback.latency.95	1.11e6
1589489595	mqtt.connection.connack.latency.95	2.07e4
1589489595	errors.system.rps	0.0
1589489595	logs.dropped.rate_limiter.rps	0.0
1589489595	workers.pool1.started	10
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	40.0
1589489615	mqtt.publisher.qos1.puback.latency.min	783
1589489605	mqtt.publisher.qos1.puback.latency.90	7.6e5
1589489595	blocked.workers	0
1589489595	logs.written	32
1589489615	workers.pool2.failed	0
1589489625	metric_merging_time	13.24
1589489595	mqtt.message.published.total.rps	223.97939589271917
1589489595	workers.pool2.failed.rps	0.0
1589489595	mqtt.consumer.suback.latency.50	3170.0
1589489595	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589489605	mqtt.publisher.qos1.puback.waiting.rps	-6.988808820435836
1589489605	mqtt.publisher.qos1.puback.latency.99	1.66e6
1589489655	mqtt.message.pub_to_sub.latency.qos1.mean	2.18e4
1589489605	mqtt.publisher.qos1.puback.latency.999	1.86e6
1589489615	mqtt.publisher.qos1.puback.latency.max	39264
1589489595	mqtt.publisher.qos1.puback.in.total	2172
1589489615	systemload.dir_time_diff.mzb_director199_0	-2
1589489595	workers.pool2.started.rps	0.998570645977348
