timestamp	metric	value
1589475017	mqtt.publisher.qos1.puback.latency.min	390
1589475017	mqtt.message.pub_to_sub.latency.qos1.95	1210.0
1589475017	mqtt.publisher.qos1.puback.in.total	2061
1589475017	mqtt.publisher.qos1.puback.latency.75	792.0
1589475017	mqtt.publisher.qos2.pubrec.waiting	0
1589475017	mqtt.publisher.qos1.puback.latency.max	2160
1589475017	mqtt.message.pub_to_sub.latency.qos1.max	4448
1589475017	mqtt.message.pub_to_sub.latency.qos1.mean	900.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.50	877.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.99	1430.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.90	1140.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.min	442
1589475017	mqtt.publisher.qos1.puback.latency.50	697.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.75	1010.0
1589475017	mqtt.publisher.qos1.puback.latency.95	957.0
1589475017	mqtt.publisher.qos1.puback.waiting	0
1589475027	mqtt.message.pub_to_sub.latency.qos1.95	1340.0
1589475017	mqtt.message.pub_to_sub.latency.qos1.999	3510.0
1589475027	mqtt.publisher.qos2.pubrec.waiting	0
1589475027	mqtt.message.pub_to_sub.latency.qos1.99	3080.0
1589475027	mqtt.publisher.qos1.puback.latency.75	812.0
1589475027	mqtt.message.pub_to_sub.latency.qos1.mean	962.0
1589475037	mqtt.message.pub_to_sub.latency.qos1.95	1270.0
1589475037	mqtt.publisher.qos1.puback.latency.75	813.0
1589475037	mqtt.publisher.qos2.pubrec.waiting	0
1589475027	mqtt.message.pub_to_sub.latency.qos1.min	432
1589475027	mqtt.publisher.qos1.puback.latency.min	381
1589475017	mqtt.publisher.qos1.puback.latency.90	873.0
1589475017	mqtt.publisher.qos1.puback.latency.99	1170.0
1589475027	mqtt.message.pub_to_sub.latency.qos1.max	8256
1589475017	mqtt.connection.connack.latency.min	1696
1589475017	mqtt.publisher.qos2.pubcomp.waiting	0
1589475017	mqtt.consumer.suback.latency.max	1318
1589475017	mqtt.connection.reconnects.rps	0.0
1589475017	mqtt.connection.connack.latency.50	7.3e3
1589475017	mqtt.connection.connack.latency.999	1.12e4
1589475037	mqtt.message.pub_to_sub.latency.qos1.mean	918.0
1589475017	mqtt.connection.current_total	20
1589475027	mqtt.publisher.qos1.puback.latency.max	8984
1589475017	mqtt.message.published.total	2062
1589475017	mqtt.consumer.suback.latency.mean	967.0
1589475017	mqtt.message.consumed.total	2060
1589475017	mqtt.consumer.suback.latency.75	1.1e3
1589475017	mqtt.consumer.suback.latency.999	1320.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.37
1589475017	mqtt.connection.current_total.rps	1.9973435331009757
1589475037	mqtt.message.pub_to_sub.latency.qos1.min	440
1589475037	mqtt.message.pub_to_sub.latency.qos1.99	1750.0
1589475017	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589475017	mqtt.connection.reconnects	0
1589475047	mqtt.message.pub_to_sub.latency.qos1.95	1.3e3
1589475027	mqtt.message.pub_to_sub.latency.qos1.75	1060.0
1589475027	mqtt.publisher.qos1.puback.latency.95	1.1e3
1589475017	errors.user.rps	0.0
1589475037	mqtt.message.pub_to_sub.latency.qos1.max	10264
1589475047	mqtt.publisher.qos1.puback.latency.75	800.0
1589475027	mqtt.message.pub_to_sub.latency.qos1.90	1210.0
1589475027	mqtt.message.consumed.total	12080
1589475037	mqtt.publisher.qos1.puback.latency.max	8968
1589475027	mqtt.message.published.total	12080
1589475027	mqtt.publisher.qos1.puback.latency.50	712.0
1589475037	mqtt.publisher.qos1.puback.latency.min	379
1589475027	mqtt.publisher.qos1.puback.waiting	0
1589475027	mqtt.message.pub_to_sub.latency.qos1.50	886.0
1589475027	mqtt.publisher.qos1.puback.in.total	12080
1589475017	workers.pool1.failed	0
1589475017	systemload.ram.mzb_director194_0	24.881440704340786
1589475027	mqtt.message.pub_to_sub.latency.qos1.999	5070.0
1589475027	systemload.netrx.bytes.eth0.mzb_director194_0	0.0
1589475017	mqtt.connection.connack.latency.max	11224
1589475017	mqtt.connection.connack.latency.mean	7030.0
1589475017	workers.pool1.ended.rps	0.9986717665504878
1589475017	mqtt.consumer.suback.latency.90	1120.0
1589475047	mqtt.message.pub_to_sub.latency.qos1.mean	946.0
1589475017	mqtt.consumer.suback.latency.50	908.0
1589475027	systemload.netrx.pkts.eth0.mzb_director194_0	0.0
1589475017	mqtt.connection.connack.latency.99	1.12e4
1589475017	mqtt.connection.connack.latency.75	8060.0
1589475017	systemload.message_queue.mzb_director194_0	0
1589475037	mqtt.message.pub_to_sub.latency.qos1.75	1040.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	16.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589475017	workers.pool2.started.rps	0.9986717665504878
1589475027	mqtt.connection.current_total	20
1589475027	systemload.nettx.bytes.eth0.mzb_director194_0	0.0
1589475017	errors.system	0
1589475027	mqtt.publisher.qos1.puback.latency.90	938.0
1589475017	mqtt.consumer.suback.latency.95	1320.0
1589475017	mqtt.consumer.suback.errors	0
1589475017	workers.pool1.started	10
1589475057	mqtt.message.pub_to_sub.latency.qos1.95	1270.0
1589475037	mqtt.publisher.qos1.puback.latency.95	1070.0
1589475047	mqtt.publisher.qos2.pubrec.waiting	0
1589475057	mqtt.publisher.qos1.puback.latency.75	798.0
1589475017	mqtt.consumer.current_total	10
1589475017	blocked.workers.rps	0.0
1589475017	workers.pool1.ended	10
1589475037	mqtt.message.pub_to_sub.latency.qos1.90	1190.0
1589475047	mqtt.message.pub_to_sub.latency.qos1.max	6684
1589475017	logs.dropped.rate_limiter.rps	0.0
1589475027	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589475037	mqtt.message.consumed.total	22090
1589475017	mqtt.publisher.qos1.puback.latency.999	1780.0
1589475027	mqtt.connection.reconnects	0
1589475017	systemload.cpu.mzb_director194_0	100.0
1589475027	errors.user.rps	0.0
1589475027	mqtt.connection.reconnects.rps	0.0
1589476159	mqtt.connection.connack.latency.999	2.6e3
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589475017	systemload.dir_time_diff.mzb_director194_0	-2
1589475037	mqtt.message.published.total	22090
1589475027	metric_merging_time	17.232
1589475027	systemload.ram.mzb_director194_0	24.881440704340786
1589475027	workers.pool1.failed	0
1589475027	mqtt.connection.current_total.rps	0.0
1589475017	errors.system.rps	0.0
1589475037	systemload.netrx.bytes.eth0.mzb_director194_0	0.0
1589475037	mqtt.message.pub_to_sub.latency.qos1.50	875.0
1589475037	systemload.netrx.pkts.eth0.mzb_director194_0	0.0
1589475027	mqtt.publisher.qos1.puback.latency.99	2750.0
1589475047	mqtt.message.pub_to_sub.latency.qos1.min	428
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589476159	mqtt.connection.connack.latency.mean	2.6e3
1589475047	mqtt.publisher.qos1.puback.latency.min	374
1589475017	logs.written	33
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.09
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589476159	mqtt.connection.connack.latency.min	2598
1589476159	mqtt.connection.connack.latency.50	2.6e3
1589475027	mqtt.publisher.qos2.pubcomp.waiting	0
1589475017	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589475027	systemload.nettx.pkts.eth0.mzb_director194_0	0.0
1589475047	mqtt.publisher.qos1.puback.latency.max	6480
1589475017	workers.pool2.ended.rps	0.0
1589475017	mqtt.connection.connack.latency.90	1.03e4
1589475017	mqtt.consumer.suback.latency.99	1320.0
1589475017	workers.pool2.ended	0
1589475017	mqtt.message.published.total.rps	205.9261182627106
1589475017	logs.dropped.mailbox_overflow	0
1589475017	mqtt.publisher.qos1.puback.latency.mean	704.0
1589475017	mqtt.publisher.qos1.puback.in.total.rps	205.82625108605555
1589475017	mqtt.publisher.qos2.pubrec.in.total	0
1589476159	mqtt.connection.connack.latency.max	2598
1589475017	mqtt.consumer.suback.latency.min	769
1589475017	systemload.process_count.mzb_director194_0	247
1589475047	mqtt.message.pub_to_sub.latency.qos1.99	3060.0
1589475017	logs.dropped.rate_limiter	0
1589475047	mqtt.message.pub_to_sub.latency.qos1.75	1040.0
1589475027	errors.system	0
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589475067	mqtt.message.pub_to_sub.latency.qos1.95	1270.0
1589475017	mqtt.consumer.suback.errors.rps	0.0
1589475067	mqtt.publisher.qos1.puback.latency.75	802.0
1589475027	workers.pool2.started.rps	0.0
1589475027	workers.pool1.ended.rps	0.0
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	414
1589475017	mqtt.publisher.qos1.puback.waiting.rps	0.0
1589475017	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589475017	mqtt.message.consumed.total.rps	205.7263839094005
1589475017	systemload.director_ping.mzb_director194_0	10
1589475027	blocked.workers.rps	0.0
1589475027	workers.pool1.ended	10
1589475037	mqtt.connection.reconnects	0
1589475037	errors.user.rps	0.0
1589475037	mqtt.publisher.qos1.puback.latency.50	701.0
1589475037	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589475037	mqtt.connection.current_total	20
1589475037	mqtt.message.pub_to_sub.latency.qos1.999	4690.0
1589475037	mqtt.publisher.qos1.puback.latency.90	949.0
1589475047	mqtt.publisher.qos1.puback.latency.95	1040.0
1589475027	workers.pool1.started	10
1589475027	systemload.cpu.mzb_director194_0	100.0
1589475017	workers.pool2.failed	0
1589475017	mqtt.consumer.current_total.rps	0.9986717665504878
1589475017	workers.pool1.failed.rps	0.0
1589475017	workers.pool2.started	10
1589475027	systemload.message_queue.mzb_director194_0	0
1589475027	mqtt.consumer.suback.errors	0
1589475037	workers.pool1.failed	0
1589475037	mqtt.connection.reconnects.rps	0.0
1589475017	mqtt.connection.connack.latency.95	1.09e4
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	42.0
1589475037	systemload.ram.mzb_director194_0	24.881440704340786
1589475047	mqtt.message.published.total	32103
1589475057	mqtt.message.pub_to_sub.latency.qos1.max	5744
1589475047	systemload.netrx.bytes.eth0.mzb_director194_0	0.0
1589475037	mqtt.publisher.qos1.puback.waiting	0
1589475017	workers.pool1.started.rps	0.9986717665504878
1589476159	mqtt.connection.connack.latency.75	2.6e3
1589475017	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	6.0
1589475047	systemload.netrx.pkts.eth0.mzb_director194_0	0.0
1589475017	systemload.interval.mzb_director194_0	10.0
1589476189	mqtt.connection.connack.latency.999	5310.0
1589475027	systemload.dir_time_diff.mzb_director194_0	-3
1589475047	mqtt.message.pub_to_sub.latency.qos1.50	880.0
1589475057	mqtt.publisher.qos2.pubrec.waiting	0
1589475037	metric_merging_time	10.89
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	13.0
1589475017	systemload.la1.mzb_director194_0	0.4609375
1589476189	mqtt.connection.connack.latency.mean	5310.0
1589475017	blocked.workers	0
1589475037	systemload.nettx.bytes.eth0.mzb_director194_0	0.0
1589475047	mqtt.message.pub_to_sub.latency.qos1.90	1180.0
1589475017	systemload.time_offset.mzb_director194_0	0
1589475017	errors.user	0
1589476189	mqtt.connection.connack.latency.50	5310.0
1589475037	mqtt.publisher.qos1.puback.in.total	22090
1589475037	mqtt.publisher.qos1.puback.latency.99	1.4e3
1589475027	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589475017	logs.dropped.mailbox_overflow.rps	0.0
1589475057	mqtt.message.pub_to_sub.latency.qos1.min	440
1589475027	mqtt.consumer.current_total	10
1589475027	logs.dropped.rate_limiter.rps	0.0
1589475047	mqtt.message.consumed.total	32102
1589475017	workers.pool2.failed.rps	0.0
1589475037	mqtt.publisher.qos2.pubcomp.waiting	0
1589475037	errors.system	0
1589475037	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.19
1589475037	workers.pool2.started.rps	0.0
1589475057	mqtt.publisher.qos1.puback.latency.max	4368
1589475027	logs.written	37
1589475037	systemload.nettx.pkts.eth0.mzb_director194_0	0.0
1589475027	errors.system.rps	0.0
1589476189	mqtt.connection.connack.latency.max	5308
1589475037	workers.pool1.ended	10
1589475027	mqtt.message.published.total.rps	1000.447195302512
1589475027	mqtt.publisher.qos1.puback.latency.999	3920.0
1589475037	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589475077	mqtt.publisher.qos1.puback.latency.75	794.0
1589475047	errors.user.rps	0.0
1589475057	mqtt.publisher.qos1.puback.latency.min	366
1589475037	blocked.workers.rps	0.0
1589475057	mqtt.message.pub_to_sub.latency.qos1.75	1050.0
1589475057	mqtt.message.pub_to_sub.latency.qos1.99	1630.0
1589475037	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589475037	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
