timestamp	metric	value
1589493307	mqtt.publisher.qos1.puback.latency.95	2290.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.min	361
1589493307	mqtt.publisher.qos1.puback.latency.99	2.8e3
1589493307	workers.pool1.failed	0
1589493317	mqtt.publisher.qos1.puback.latency.95	740.0
1589493307	mqtt.consumer.suback.latency.max	1200
1589493317	mqtt.publisher.qos1.puback.latency.99	1090.0
1589493317	workers.pool1.failed	0
1589493327	mqtt.publisher.qos1.puback.latency.99	1080.0
1589493307	workers.pool2.started	10
1589493307	systemload.message_queue.mzb_director202_0	0
1589493307	mqtt.consumer.suback.latency.95	1.2e3
1589493327	workers.pool1.failed	0
1589493307	logs.written.rps	3.2960977498739243
1589493307	errors.user	0
1589493307	mqtt.connection.current_total.rps	1.9976349999235905
1589493307	systemload.la1.mzb_director202_0	1.859375
1589493307	mqtt.publisher.qos2.pubrec.waiting	0
1589493307	mqtt.connection.current_total	20
1589493307	mqtt.consumer.suback.errors	0
1589493307	logs.dropped.rate_limiter.rps	0.0
1589493317	workers.pool2.started	10
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	6.77
1589493307	mqtt.message.published.total.rps	291.95435523883276
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	11.0
1589493307	mqtt.publisher.qos1.puback.waiting	0
1589493307	mqtt.publisher.qos1.puback.waiting.rps	0.0
1589493307	mqtt.connection.connack.latency.mean	7740.0
1589493307	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589493307	mqtt.consumer.suback.latency.min	606
1589493307	workers.pool2.started.rps	0.9988174999617953
1589493307	errors.system.rps	0.0
1589493327	workers.pool2.started	10
1589493307	logs.dropped.rate_limiter	0
1589493307	systemload.cpu.mzb_director202_0	100.0
1589493337	mqtt.publisher.qos1.puback.latency.99	2.6e3
1589493317	mqtt.connection.current_total	20
1589493307	mqtt.consumer.suback.latency.mean	832.0
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	14.0
1589493317	mqtt.consumer.suback.errors	0
1589493317	metric_merging_time	15.362
1589493317	logs.dropped.rate_limiter.rps	0.0
1589493317	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	11.0
1589493307	logs.written	33
1589493307	mqtt.consumer.current_total	10
1589493317	mqtt.message.published.total.rps	1000.6908652275456
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589493317	systemload.la1.mzb_director202_0	1.66015625
1589493307	logs.dropped.mailbox_overflow	0
1589493317	workers.pool2.started.rps	0.0
1589493317	errors.user	0
1589493307	systemload.ram.mzb_director202_0	25.13427046630154
1589493317	systemload.nettx.bytes.eth0.mzb_director202_0	0.0
1589493317	systemload.netrx.pkts.eth0.mzb_director202_0	0.0
1589493307	systemload.director_ping.mzb_director202_0	24
1589493317	mqtt.connection.current_total.rps	0.0
1589493327	mqtt.connection.current_total	20
1589493307	mqtt.publisher.qos1.puback.latency.90	759.0
1589493307	mqtt.publisher.qos1.puback.latency.999	3020.0
1589493327	mqtt.consumer.suback.errors	0
1589493307	mqtt.connection.connack.latency.50	8.9e3
1589493317	errors.system.rps	0.0
1589493317	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	13.0
1589493327	logs.dropped.rate_limiter.rps	0.0
1589493307	mqtt.message.published.total	2923
1589493307	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589493327	mqtt.message.published.total.rps	999.9879122340279
1589493327	systemload.la1.mzb_director202_0	1.55859375
1589493307	mqtt.consumer.suback.latency.90	964.0
1589493307	workers.pool1.ended.rps	0.9988174999617953
1589493317	mqtt.publisher.qos1.puback.waiting	0
1589493307	blocked.workers	0
1589493317	logs.dropped.rate_limiter	0
1589493307	systemload.process_count.mzb_director202_0	216
1589493307	mqtt.message.pub_to_sub.latency.qos1.max	4792
1589493307	mqtt.message.consumed.total	2922
1589493327	workers.pool2.started.rps	0.0
1589493307	mqtt.consumer.suback.latency.99	1.2e3
1589493327	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	10.0
1589493307	mqtt.connection.connack.latency.max	10120
1589493307	mqtt.publisher.qos1.puback.in.total.rps	291.85447348883656
1589493307	mqtt.message.pub_to_sub.latency.qos1.50	661.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.mean	828.0
1589493317	logs.written	37
1589493307	mqtt.message.pub_to_sub.latency.qos1.90	1050.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.75	804.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.95	2.6e3
1589493317	systemload.cpu.mzb_director202_0	100.0
1589493317	systemload.netrx.bytes.eth0.mzb_director202_0	0.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.99	3040.0
1589493327	errors.user	0
1589493307	workers.pool1.started.rps	0.9988174999617953
1589493307	mqtt.consumer.suback.latency.50	808.0
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	6.0
1589493307	workers.pool2.ended	0
1589493307	systemload.interval.mzb_director202_0	10.0
1589493307	mqtt.publisher.qos2.pubrec.in.total	0
1589493317	mqtt.publisher.qos1.puback.waiting.rps	0.0
1589493317	systemload.nettx.pkts.eth0.mzb_director202_0	0.0
1589493307	blocked.workers.rps	0.0
1589493347	mqtt.publisher.qos1.puback.latency.99	1090.0
1589493307	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	113.0
1589493317	logs.dropped.mailbox_overflow	0
1589493317	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589493307	mqtt.connection.reconnects.rps	0.0
1589493307	mqtt.message.pub_to_sub.latency.qos1.999	3220.0
1589493317	mqtt.consumer.current_total	10
1589493307	mqtt.connection.connack.latency.90	1.01e4
1589493327	errors.system.rps	0.0
